epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7727,2.7762,5.19379,2.84442,0,0,0,0,3.49374,5.04128,4.04755,0.09109,9e-05,9e-05
2,59.2052,2.20122,4.69444,2.06276,0,0,0,0,2.39207,4.72411,3.19594,0.0811862,0.000186238,0.000186238
3,85.1429,2.0944,4.53116,2.03256,0.00025,0.07692,0.00318,0.00079,2.30624,4.80601,3.05698,0.0712785,0.000278516,0.000278516
4,110.222,1.97318,4.3957,1.96487,0.00125,0.15385,0.01105,0.00365,2.1267,4.66832,2.5211,0.0613668,0.000366834,0.000366834
5,136.032,2.0179,4.28158,1.97449,0.00129,0.15385,0.03476,0.0178,2.05088,4.62297,2.15656,0.0514512,0.000451192,0.000451192
6,162.987,1.95871,4.09932,1.90734,0.01007,0.23077,0.04713,0.01657,2.11761,5.00687,2.10053,0.0415316,0.00053159,0.00053159
7,188.282,1.89247,4.03008,1.85451,0.00146,0.11538,0.01305,0.00498,2.10172,4.57487,1.84424,0.031608,0.000608028,0.000608028
8,214.258,1.8975,3.94095,1.84406,0.00402,0.38462,0.08765,0.0119,2.53278,4.7339,2.2863,0.0216805,0.000680506,0.000680506
9,240.824,1.85752,3.84494,1.90002,0.00331,0.53846,0.09781,0.04516,2.42227,4.68044,1.9739,0.011749,0.000749024,0.000749024
10,267.09,1.74501,3.68682,1.70287,0.65863,0.14811,0.21047,0.07375,2.22957,5.00655,2.20808,0.00181358,0.000813582,0.000813582
11,293.843,1.80987,3.55686,1.76599,0.46716,0.34697,0.22108,0.07705,2.17197,7.10175,2.1645,0.000802,0.000802,0.000802
12,319.247,1.80288,3.60739,1.75333,0.52617,0.15385,0.20424,0.05332,1.87491,6.91953,1.97988,0.0007822,0.0007822,0.0007822
13,345.475,1.78869,3.57196,1.8259,0.54488,0.19231,0.26478,0.05633,1.84091,5.39351,2.0218,0.0007624,0.0007624,0.0007624
14,371.804,1.78834,3.48826,1.77876,0.53208,0.26923,0.27658,0.13516,2.18779,4.96578,2.22956,0.0007426,0.0007426,0.0007426
15,397.5,1.70787,3.38099,1.72984,0.23425,0.53846,0.27111,0.11344,2.10559,5.78584,2.18948,0.0007228,0.0007228,0.0007228
16,424.2,1.62604,3.29216,1.66407,0.1248,0.53846,0.16129,0.08171,1.93871,6.0681,2.0936,0.000703,0.000703,0.000703
17,451.036,1.7118,3.29225,1.7347,0.20251,0.57692,0.2038,0.09642,1.55039,9.0063,1.97964,0.0006832,0.0006832,0.0006832
18,477.911,1.70532,3.2267,1.66747,0.40321,0.29735,0.33107,0.13571,1.50834,7.8008,1.90807,0.0006634,0.0006634,0.0006634
19,504.759,1.6957,3.19411,1.70995,0.39674,0.27126,0.33308,0.17184,1.45663,5.14958,1.8224,0.0006436,0.0006436,0.0006436
20,532.521,1.66613,3.14439,1.66655,0.3021,0.30585,0.32692,0.16766,1.38738,4.03324,1.80172,0.0006238,0.0006238,0.0006238
21,559.732,1.61132,3.19476,1.61888,0.31875,0.23077,0.3672,0.15436,1.35242,3.86028,1.77478,0.000604,0.000604,0.000604
22,585.377,1.59993,3.04825,1.5803,0.19115,0.49268,0.41368,0.15473,1.5031,4.17873,1.82156,0.0005842,0.0005842,0.0005842
23,612.355,1.60041,3.02748,1.67418,0.27502,0.5,0.40176,0.17771,1.45157,5.46646,1.77637,0.0005644,0.0005644,0.0005644
24,640.151,1.62896,3.06373,1.67315,0.33454,0.57488,0.47544,0.23788,1.35919,9.02375,1.74744,0.0005446,0.0005446,0.0005446
25,666.967,1.55519,3.01568,1.60909,0.24946,0.65385,0.40797,0.19029,1.26964,13.6586,1.71352,0.0005248,0.0005248,0.0005248
26,693.609,1.47554,2.96196,1.51938,0.15969,0.84615,0.33068,0.1412,1.33419,11.1321,1.83475,0.000505,0.000505,0.000505
27,720.719,1.54159,3.01065,1.61228,0.30988,0.65385,0.31088,0.19391,1.28767,6.95378,1.68809,0.0004852,0.0004852,0.0004852
28,747.783,1.50719,2.8545,1.58835,0.49642,0.53846,0.4351,0.21545,1.27473,4.94164,1.60801,0.0004654,0.0004654,0.0004654
29,775.246,1.46842,2.89992,1.53289,0.44176,0.53846,0.37618,0.1999,1.22303,4.61201,1.51636,0.0004456,0.0004456,0.0004456
30,802.326,1.444,2.88669,1.50077,0.26365,0.6112,0.39578,0.21891,1.27922,4.16653,1.53526,0.0004258,0.0004258,0.0004258
31,830.011,1.44562,2.90316,1.49568,0.26263,0.65385,0.33101,0.17233,1.23042,3.74559,1.52429,0.000406,0.000406,0.000406
32,856.275,1.48466,2.85471,1.57269,0.27037,0.64213,0.31837,0.15373,1.25294,3.71449,1.56675,0.0003862,0.0003862,0.0003862
33,882.898,1.46418,2.97718,1.5442,0.17015,0.65385,0.34067,0.16976,1.25319,3.75756,1.59465,0.0003664,0.0003664,0.0003664
34,909.125,1.45491,2.81011,1.46789,0.20176,0.71187,0.4463,0.23306,1.25687,3.94214,1.61308,0.0003466,0.0003466,0.0003466
