epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2042,0.97538,4.68605,0.96084,0,0,0,0,1.74631,5.70129,1.38227,0.093007,7e-06,7e-06
2,47.5245,0.8739,3.91517,0.9104,0,0,0,0,1.69009,5.61158,1.36521,0.085015,1.49703e-05,1.49703e-05
3,70.1255,0.84925,3.71612,0.94347,0,0,0,0,1.39274,5.25289,1.15669,0.0770229,2.29089e-05,2.29089e-05
4,92.7533,0.79994,3.39241,0.92422,0,0,0,0,0.93874,4.85122,0.86809,0.0690308,3.08159e-05,3.08159e-05
5,115.232,0.77182,3.28087,0.92584,0,0,0,0,0.83601,4.79791,0.82189,0.0610387,3.86911e-05,3.86911e-05
6,137.243,0.74414,3.22252,0.8951,0,0,0,0,0.80025,4.76444,0.80161,0.0530465,4.65347e-05,4.65347e-05
7,159.281,0.78002,3.00011,0.95408,0.04167,0.08333,0.06219,0.05713,0.69798,4.71155,0.77981,0.0450543,5.43466e-05,5.43466e-05
8,181.339,0.7173,3.0112,0.92558,0.01087,0.08333,0.06917,0.06307,0.56131,4.56831,0.74665,0.0370621,6.21268e-05,6.21268e-05
9,203.121,0.66662,2.87824,0.93122,0.01905,0.11111,0.09617,0.08935,0.46922,4.39942,0.72911,0.0290699,6.98754e-05,6.98754e-05
10,225.785,0.70572,2.77146,0.90082,0.11255,0.22222,0.16328,0.14939,0.45753,4.28598,0.72797,0.0210776,7.75922e-05,7.75922e-05
11,248.424,0.67841,2.60044,0.90759,0.14785,0.77778,0.30386,0.28165,0.45957,4.04527,0.73401,0.0130853,8.52774e-05,8.52774e-05
12,271.696,0.65362,2.61455,0.9081,0.10117,0.94444,0.33257,0.29983,0.46088,3.83868,0.73937,0.00509293,9.29309e-05,9.29309e-05
13,295.648,0.65254,2.58411,0.88164,0.08094,0.97222,0.37718,0.34093,0.45873,3.59391,0.74058,9.7624e-05,9.7624e-05,9.7624e-05
14,321.484,0.63486,2.54157,0.87763,0.0776,1,0.38719,0.34962,0.45241,3.31105,0.74013,9.7426e-05,9.7426e-05,9.7426e-05
15,347.765,0.67142,2.54937,0.88063,0.07537,1,0.43062,0.39491,0.4425,3.03835,0.74503,9.7228e-05,9.7228e-05,9.7228e-05
16,374.268,0.66356,2.4628,0.92468,0.23044,0.46081,0.44652,0.41272,0.43333,2.79767,0.74825,9.703e-05,9.703e-05,9.703e-05
17,400.974,0.64958,2.47885,0.8997,0.41906,0.37316,0.45108,0.41654,0.44691,2.62696,0.75526,9.6832e-05,9.6832e-05,9.6832e-05
18,427.544,0.61701,2.29692,0.89088,0.27695,0.44444,0.4468,0.41275,0.48874,2.51807,0.76823,9.6634e-05,9.6634e-05,9.6634e-05
19,454.313,0.57892,2.30753,0.84294,0.33352,0.37093,0.47581,0.4431,0.5187,2.43985,0.77747,9.6436e-05,9.6436e-05,9.6436e-05
20,480.917,0.59835,2.34233,0.8886,0.32977,0.57999,0.49662,0.46109,0.49976,2.36828,0.77894,9.6238e-05,9.6238e-05,9.6238e-05
21,507.097,0.65157,2.34925,0.9209,0.34318,0.62819,0.50125,0.47166,0.46615,2.29101,0.77778,9.604e-05,9.604e-05,9.604e-05
