epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.0642,1.29506,4.16966,1.00465,0,0,0,0,1.44669,4.76956,1.09195,0.093007,7e-06,7e-06
2,54.6287,1.01613,3.39258,0.93315,0,0,0,0,1.58319,5.12384,1.34737,0.085015,1.49703e-05,1.49703e-05
3,81.2748,0.95157,3.01631,0.93624,0,0,0,0,1.25072,4.53925,0.9978,0.0770229,2.29089e-05,2.29089e-05
4,107.894,0.86685,2.72056,0.89633,0.03333,0.02778,0.02311,0.0208,1.01897,4.30872,0.90495,0.0690308,3.08159e-05,3.08159e-05
5,134.326,0.8637,2.51865,0.9297,0.09583,0.13889,0.08373,0.06691,0.93007,4.21244,0.87047,0.0610387,3.86911e-05,3.86911e-05
6,160.959,0.81962,2.39124,0.91833,0.07878,0.27778,0.10512,0.08787,0.87663,4.14146,0.85988,0.0530465,4.65347e-05,4.65347e-05
7,187.001,0.83058,2.23832,0.90973,0.27712,0.44444,0.25244,0.22636,0.72279,4.05176,0.83705,0.0450543,5.43466e-05,5.43466e-05
8,213.141,0.77175,2.2085,0.86541,0.2081,0.69444,0.33103,0.28998,0.65298,3.89254,0.82886,0.0370621,6.21268e-05,6.21268e-05
9,239.212,0.71937,2.09212,0.86689,0.17417,0.94444,0.38244,0.32919,0.66625,3.67126,0.83183,0.0290699,6.98754e-05,6.98754e-05
10,265.061,0.80549,2.11767,0.89736,0.16039,1,0.38426,0.32858,0.64455,3.51862,0.83148,0.0210776,7.75922e-05,7.75922e-05
11,290.683,0.84546,2.30596,0.94483,0.14826,1,0.43408,0.37716,0.6108,3.20776,0.82724,0.0130853,8.52774e-05,8.52774e-05
12,316.452,0.76553,2.10369,0.88972,0.13412,1,0.42443,0.36866,0.58358,2.97513,0.81976,0.00509293,9.29309e-05,9.29309e-05
13,342.297,0.65623,1.9769,0.85688,0.11812,1,0.4034,0.35216,0.57321,2.74654,0.81633,9.7624e-05,9.7624e-05,9.7624e-05
14,368.093,0.64595,1.97266,0.86563,0.09719,1,0.40532,0.351,0.57114,2.53006,0.81559,9.7426e-05,9.7426e-05,9.7426e-05
15,393.587,0.74954,1.99751,0.9073,0.17977,1,0.42753,0.37837,0.55033,2.364,0.81304,9.7228e-05,9.7228e-05,9.7228e-05
16,419.223,0.6627,1.93115,0.86339,0.25039,0.82132,0.45995,0.41455,0.51391,2.25044,0.80896,9.703e-05,9.703e-05,9.703e-05
17,444.998,0.66512,1.94441,0.91223,0.30583,0.72337,0.43791,0.39594,0.48553,2.14176,0.80462,9.6832e-05,9.6832e-05,9.6832e-05
18,471.188,0.65401,1.91636,0.86469,0.34313,0.72909,0.48022,0.43665,0.51798,2.02419,0.80935,9.6634e-05,9.6634e-05,9.6634e-05
19,496.793,0.66782,1.79374,0.84959,0.29649,0.74233,0.49545,0.46421,0.55059,1.90897,0.81308,9.6436e-05,9.6436e-05,9.6436e-05
20,522.022,0.65939,1.88247,0.85964,0.27616,0.74805,0.51156,0.48104,0.52712,1.78114,0.812,9.6238e-05,9.6238e-05,9.6238e-05
21,547.487,0.66643,1.85652,0.85929,0.30113,0.94319,0.50728,0.47826,0.48822,1.66896,0.80629,9.604e-05,9.604e-05,9.604e-05
22,572.727,0.67366,1.76338,0.89294,0.32685,0.89657,0.56018,0.5187,0.52823,1.59246,0.80716,9.5842e-05,9.5842e-05,9.5842e-05
23,599.196,0.66232,1.76893,0.87397,0.40664,0.83292,0.5954,0.54724,0.52936,1.55543,0.80737,9.5644e-05,9.5644e-05,9.5644e-05
24,627.203,0.59268,1.77495,0.84932,0.40023,0.87526,0.61822,0.56412,0.4865,1.52949,0.80508,9.5446e-05,9.5446e-05,9.5446e-05
25,653.689,0.61634,1.73416,0.85918,0.40281,0.80642,0.61543,0.57524,0.43384,1.5081,0.79917,9.5248e-05,9.5248e-05,9.5248e-05
26,679.356,0.59093,1.69049,0.85306,0.38887,0.79511,0.57849,0.54776,0.3908,1.51385,0.79233,9.505e-05,9.505e-05,9.505e-05
27,704.612,0.60538,1.75338,0.8569,0.37716,0.79767,0.5781,0.54527,0.40388,1.51663,0.792,9.4852e-05,9.4852e-05,9.4852e-05
28,730.251,0.5863,1.70003,0.86242,0.4207,0.83087,0.56167,0.52466,0.44123,1.47686,0.79753,9.4654e-05,9.4654e-05,9.4654e-05
29,755.537,0.59864,1.64233,0.83924,0.42007,0.8221,0.56942,0.5313,0.47146,1.46324,0.79912,9.4456e-05,9.4456e-05,9.4456e-05
30,780.692,0.64152,1.7215,0.8733,0.40662,0.75828,0.57215,0.53206,0.47271,1.43864,0.79985,9.4258e-05,9.4258e-05,9.4258e-05
31,805.963,0.60932,1.63821,0.83958,0.41701,0.77338,0.60569,0.55636,0.43762,1.42679,0.79675,9.406e-05,9.406e-05,9.406e-05
32,831.228,0.68603,1.66996,0.8736,0.38105,0.84949,0.64902,0.60287,0.40361,1.41699,0.79463,9.3862e-05,9.3862e-05,9.3862e-05
33,856.411,0.58054,1.5914,0.83799,0.45551,0.7941,0.64453,0.60939,0.39455,1.38436,0.79161,9.3664e-05,9.3664e-05,9.3664e-05
34,881.227,0.57519,1.56613,0.83142,0.45595,0.83308,0.63702,0.6072,0.41185,1.3696,0.79264,9.3466e-05,9.3466e-05,9.3466e-05
35,906.323,0.59812,1.70111,0.83215,0.39783,0.76523,0.61806,0.58332,0.42992,1.37793,0.79577,9.3268e-05,9.3268e-05,9.3268e-05
36,932.26,0.60025,1.57223,0.84519,0.42228,0.78257,0.62464,0.577,0.43692,1.36848,0.79595,9.307e-05,9.307e-05,9.307e-05
37,957.468,0.72516,1.792,0.91463,0.44173,0.77778,0.62449,0.57925,0.43823,1.37064,0.79343,9.2872e-05,9.2872e-05,9.2872e-05
38,982.487,0.57779,1.58475,0.83128,0.46645,0.79523,0.6124,0.57534,0.43263,1.38766,0.79146,9.2674e-05,9.2674e-05,9.2674e-05
39,1007.77,0.56008,1.56901,0.8408,0.4833,0.71797,0.64923,0.6195,0.41237,1.40367,0.79034,9.2476e-05,9.2476e-05,9.2476e-05
40,1033.26,0.51939,1.59076,0.85318,0.55536,0.65486,0.65984,0.62949,0.39812,1.37896,0.78922,9.2278e-05,9.2278e-05,9.2278e-05
41,1058.59,0.57297,1.63438,0.84911,0.45684,0.7853,0.65509,0.62789,0.4153,1.34951,0.79003,9.208e-05,9.208e-05,9.208e-05
42,1083.68,0.59072,1.54372,0.8407,0.46102,0.88742,0.67331,0.63893,0.44163,1.35095,0.79223,9.1882e-05,9.1882e-05,9.1882e-05
43,1109.25,0.56461,1.6152,0.84634,0.47941,0.82428,0.66169,0.61839,0.46447,1.38815,0.79538,9.1684e-05,9.1684e-05,9.1684e-05
44,1134.46,0.53643,1.52785,0.81566,0.59393,0.71564,0.67107,0.6266,0.49498,1.40578,0.79815,9.1486e-05,9.1486e-05,9.1486e-05
45,1159.56,0.56927,1.46183,0.83678,0.59585,0.62578,0.62513,0.58027,0.49455,1.39287,0.79771,9.1288e-05,9.1288e-05,9.1288e-05
46,1183.45,0.5131,1.44362,0.83683,0.47622,0.71852,0.64721,0.60473,0.47778,1.35978,0.79517,9.109e-05,9.109e-05,9.109e-05
47,1205.28,0.57674,1.51239,0.83783,0.43173,0.82736,0.6594,0.61128,0.45301,1.32561,0.79189,9.0892e-05,9.0892e-05,9.0892e-05
48,1226.3,0.553,1.45227,0.84197,0.42248,0.89468,0.66329,0.61904,0.43071,1.28818,0.79252,9.0694e-05,9.0694e-05,9.0694e-05
49,1247.15,0.54407,1.44162,0.82367,0.42056,0.79623,0.71898,0.66356,0.45268,1.28558,0.7948,9.0496e-05,9.0496e-05,9.0496e-05
50,1268.63,0.55705,1.46143,0.84278,0.46126,0.82632,0.72475,0.65856,0.49424,1.28511,0.79586,9.0298e-05,9.0298e-05,9.0298e-05
51,1289.91,0.65282,1.4059,0.87142,0.58333,0.732,0.72865,0.65766,0.52244,1.26804,0.79459,9.01e-05,9.01e-05,9.01e-05
52,1310.9,0.57613,1.45476,0.8221,0.56393,0.76216,0.73293,0.66338,0.50709,1.23887,0.79277,8.9902e-05,8.9902e-05,8.9902e-05
53,1332.44,0.6506,1.50977,0.85879,0.61416,0.68094,0.74526,0.68899,0.43858,1.17622,0.78903,8.9704e-05,8.9704e-05,8.9704e-05
54,1353.89,0.54334,1.37765,0.83664,0.57173,0.72883,0.75569,0.70922,0.40165,1.15076,0.7881,8.9506e-05,8.9506e-05,8.9506e-05
55,1374.73,0.57233,1.43913,0.85446,0.58943,0.69154,0.7528,0.70875,0.40463,1.15541,0.79088,8.9308e-05,8.9308e-05,8.9308e-05
56,1395.55,0.56384,1.45764,0.85231,0.61699,0.69084,0.76463,0.7103,0.44515,1.16779,0.79459,8.911e-05,8.911e-05,8.911e-05
57,1416.89,0.60565,1.44679,0.85128,0.59762,0.79526,0.769,0.70754,0.47956,1.15132,0.79646,8.8912e-05,8.8912e-05,8.8912e-05
58,1437.53,0.51675,1.29834,0.83538,0.70794,0.6661,0.76458,0.7021,0.48181,1.15507,0.79927,8.8714e-05,8.8714e-05,8.8714e-05
59,1458.07,0.56125,1.41306,0.82955,0.72446,0.70288,0.75456,0.69077,0.46201,1.14824,0.79658,8.8516e-05,8.8516e-05,8.8516e-05
60,1478.62,0.54831,1.319,0.84505,0.70834,0.63585,0.74414,0.70368,0.41727,1.13462,0.79237,8.8318e-05,8.8318e-05,8.8318e-05
61,1499.17,0.55414,1.36224,0.8411,0.61105,0.78603,0.75935,0.72412,0.3764,1.12562,0.78755,8.812e-05,8.812e-05,8.812e-05
62,1520.1,0.56213,1.38594,0.83647,0.65021,0.74971,0.78269,0.74109,0.38005,1.13911,0.78682,8.7922e-05,8.7922e-05,8.7922e-05
63,1540.62,0.57479,1.26869,0.83815,0.61778,0.81489,0.7827,0.73418,0.41241,1.10868,0.78904,8.7724e-05,8.7724e-05,8.7724e-05
64,1561.08,0.56856,1.36914,0.83169,0.63775,0.88889,0.78816,0.73909,0.39052,1.06789,0.78564,8.7526e-05,8.7526e-05,8.7526e-05
65,1581.45,0.59066,1.33618,0.86186,0.6446,0.8671,0.77041,0.73513,0.34734,1.06144,0.7792,8.7328e-05,8.7328e-05,8.7328e-05
66,1602.14,0.53156,1.31408,0.83802,0.75938,0.75752,0.76996,0.73314,0.34356,1.07725,0.78016,8.713e-05,8.713e-05,8.713e-05
67,1622.46,0.53619,1.23963,0.85322,0.66626,0.79698,0.77299,0.7354,0.37153,1.06353,0.78176,8.6932e-05,8.6932e-05,8.6932e-05
68,1642.88,0.56106,1.27906,0.8323,0.7682,0.71503,0.7892,0.7506,0.40596,1.06215,0.78463,8.6734e-05,8.6734e-05,8.6734e-05
69,1663.31,0.56416,1.25208,0.84601,0.75289,0.73085,0.7929,0.74571,0.43255,1.06517,0.78436,8.6536e-05,8.6536e-05,8.6536e-05
70,1683.74,0.58057,1.28234,0.85394,0.75228,0.71289,0.81624,0.75286,0.44787,1.05738,0.78101,8.6338e-05,8.6338e-05,8.6338e-05
71,1704.24,0.55268,1.22266,0.85368,0.72662,0.77502,0.81892,0.75959,0.43504,1.07164,0.78052,8.614e-05,8.614e-05,8.614e-05
72,1724.68,0.55332,1.20332,0.84304,0.74446,0.79453,0.81245,0.76514,0.42556,1.05917,0.78188,8.5942e-05,8.5942e-05,8.5942e-05
73,1745.41,0.54471,1.25964,0.8286,0.75384,0.8134,0.82758,0.77749,0.39826,1.02017,0.7845,8.5744e-05,8.5744e-05,8.5744e-05
74,1766.21,0.5272,1.19287,0.80798,0.75696,0.82989,0.84873,0.79821,0.38326,0.96545,0.78361,8.5546e-05,8.5546e-05,8.5546e-05
75,1786.82,0.57485,1.27528,0.86991,0.73712,0.84765,0.84681,0.79546,0.39217,0.91984,0.78392,8.5348e-05,8.5348e-05,8.5348e-05
76,1809.05,0.624,1.34266,0.86959,0.64803,0.95104,0.84607,0.79083,0.40487,0.9143,0.78591,8.515e-05,8.515e-05,8.515e-05
77,1830.1,0.48855,1.16495,0.82779,0.70895,0.87794,0.85258,0.80418,0.417,0.89437,0.78804,8.4952e-05,8.4952e-05,8.4952e-05
78,1851.13,0.54038,1.19825,0.83274,0.68004,0.86468,0.846,0.80175,0.41953,0.87614,0.78852,8.4754e-05,8.4754e-05,8.4754e-05
79,1872.33,0.53288,1.19631,0.84179,0.7592,0.7632,0.84767,0.79032,0.43455,0.8667,0.78974,8.4556e-05,8.4556e-05,8.4556e-05
80,1894.12,0.50619,1.13362,0.80999,0.74659,0.83446,0.84248,0.75988,0.47374,0.90908,0.79354,8.4358e-05,8.4358e-05,8.4358e-05
81,1915.96,0.55442,1.15982,0.84999,0.73841,0.82846,0.83031,0.75039,0.50629,1.03259,0.80016,8.416e-05,8.416e-05,8.416e-05
82,1938.09,0.5179,1.14662,0.84311,0.70727,0.81132,0.80691,0.73946,0.49592,1.03074,0.79914,8.3962e-05,8.3962e-05,8.3962e-05
83,1959.29,0.59582,1.20626,0.85925,0.72947,0.81568,0.79459,0.73404,0.45416,0.92809,0.79193,8.3764e-05,8.3764e-05,8.3764e-05
84,1980.48,0.53761,1.1107,0.83114,0.70736,0.83333,0.80249,0.74889,0.40978,0.86281,0.78621,8.3566e-05,8.3566e-05,8.3566e-05
85,2001.83,0.55008,1.12859,0.82152,0.70275,0.80556,0.80219,0.7486,0.3673,0.86114,0.78372,8.3368e-05,8.3368e-05,8.3368e-05
86,2023.34,0.52993,1.17746,0.83067,0.71701,0.79367,0.79514,0.75207,0.36237,0.89053,0.78519,8.317e-05,8.317e-05,8.317e-05
