epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.46,1.40819,4.31235,1.27148,0,0,0,0,2.40236,5.74424,2.45914,0.0676514,3.2381e-05,3.2381e-05
2,276.501,1.18259,3.5641,1.14359,0.06944,0.1044,0.06972,0.0622,0.95585,4.63355,1.03896,0.0343513,6.55842e-05,6.55842e-05
3,399.295,1.04947,3.2718,1.09189,0.065,0.53526,0.16818,0.15268,0.71692,3.80592,0.87975,0.00105104,9.86554e-05,9.86554e-05
4,518.575,0.94485,3.16421,1.05922,0.51583,0.2558,0.24607,0.22783,0.75195,3.29231,0.85421,9.9406e-05,9.9406e-05,9.9406e-05
5,653.775,0.88759,3.06867,1.00453,0.63504,0.32703,0.26255,0.23892,0.76365,2.92599,0.8521,9.9208e-05,9.9208e-05,9.9208e-05
6,1046.52,0.8486,2.92729,1.00993,0.42257,0.41927,0.32252,0.27661,0.73213,2.72205,0.85038,9.901e-05,9.901e-05,9.901e-05
7,1180.91,0.83738,2.72156,0.97768,0.50741,0.47613,0.33817,0.29497,0.7083,2.46558,0.84707,9.8812e-05,9.8812e-05,9.8812e-05
8,1300.16,0.82779,2.56001,0.97851,0.41108,0.38402,0.31706,0.27403,0.75236,2.43046,0.86843,9.8614e-05,9.8614e-05,9.8614e-05
9,1781.8,0.8112,2.53342,0.97849,0.44094,0.41646,0.31916,0.27491,0.69587,2.29774,0.84656,9.8416e-05,9.8416e-05,9.8416e-05
10,2066.75,0.75158,2.41101,0.94973,0.26698,0.4605,0.34397,0.29449,0.65688,2.14744,0.8164,9.8218e-05,9.8218e-05,9.8218e-05
11,2224.28,0.75963,2.37263,0.95659,0.28603,0.54393,0.36955,0.31866,0.61399,2.08956,0.80298,9.802e-05,9.802e-05,9.802e-05
12,2345.62,0.75986,2.27545,0.94367,0.28067,0.50234,0.35589,0.32572,0.58764,2.18315,0.79429,9.7822e-05,9.7822e-05,9.7822e-05
13,2465.18,0.73274,2.25942,0.92298,0.30858,0.50336,0.37251,0.32976,0.60243,2.10886,0.79576,9.7624e-05,9.7624e-05,9.7624e-05
14,2585.37,0.71045,2.20916,0.93556,0.32459,0.56998,0.44714,0.39029,0.59061,1.88354,0.79899,9.7426e-05,9.7426e-05,9.7426e-05
15,2704.37,0.71867,2.16411,0.92558,0.50332,0.45036,0.45723,0.39715,0.60831,1.94648,0.81708,9.7228e-05,9.7228e-05,9.7228e-05
16,2822.59,0.75809,2.19897,0.94235,0.32196,0.50278,0.42913,0.39429,0.57571,1.96839,0.80118,9.703e-05,9.703e-05,9.703e-05
