epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.466,1.46807,4.01915,1.07945,0.08448,0.09,0.05031,0.02606,1.68611,4.61454,1.17941,0.0676514,3.2381e-05,3.2381e-05
2,272.336,1.24833,3.0597,1.05768,0.226,0.45035,0.20165,0.159,1.0796,3.98263,0.9842,0.0343513,6.55842e-05,6.55842e-05
3,394.916,1.25506,2.79717,1.02339,0.21447,0.50232,0.20923,0.17513,0.86365,3.06978,0.9321,0.00105104,9.86554e-05,9.86554e-05
4,513.871,1.06942,2.52584,0.97641,0.19138,0.44972,0.20756,0.17935,0.82677,2.57315,0.93829,9.9406e-05,9.9406e-05,9.9406e-05
5,627.149,1.02544,2.43553,0.96923,0.19183,0.4401,0.22801,0.19689,0.8187,2.46568,0.9389,9.9208e-05,9.9208e-05,9.9208e-05
6,734.133,1.06119,2.45999,1.00593,0.21006,0.46544,0.24303,0.20689,0.82792,2.36021,0.95871,9.901e-05,9.901e-05,9.901e-05
7,836.309,1.01063,2.40711,0.96498,0.18784,0.52416,0.23358,0.20043,0.8106,2.31205,0.96725,9.8812e-05,9.8812e-05,9.8812e-05
8,939.42,0.97118,2.31164,0.95934,0.24689,0.48024,0.24936,0.20629,0.82198,2.27433,0.9642,9.8614e-05,9.8614e-05,9.8614e-05
9,1046.04,0.99367,2.27788,0.96611,0.26766,0.44516,0.29136,0.2563,0.77385,2.16644,0.93062,9.8416e-05,9.8416e-05,9.8416e-05
10,1163.4,0.97422,2.2155,0.94827,0.23916,0.41875,0.27878,0.2488,0.73434,2.11286,0.92886,9.8218e-05,9.8218e-05,9.8218e-05
11,1282.87,0.99447,2.26225,0.97869,0.27828,0.35747,0.26892,0.2314,0.86506,2.15076,0.95557,9.802e-05,9.802e-05,9.802e-05
12,1763.72,0.91675,2.16699,0.93266,0.36595,0.28467,0.29047,0.25669,0.7546,2.08502,0.92565,9.7822e-05,9.7822e-05,9.7822e-05
13,1903.52,0.87489,2.08677,0.92604,0.35698,0.33705,0.32254,0.28092,0.78652,2.06422,0.93479,9.7624e-05,9.7624e-05,9.7624e-05
14,2202.59,0.89383,2.12285,0.92439,0.26488,0.40593,0.33244,0.28541,0.86029,2.09399,0.95236,9.7426e-05,9.7426e-05,9.7426e-05
15,2322.79,0.91595,2.1128,0.9423,0.26798,0.41551,0.32192,0.27551,0.79801,2.00745,0.94504,9.7228e-05,9.7228e-05,9.7228e-05
16,2441.56,0.87795,2.06666,0.93886,0.36044,0.37399,0.34307,0.30156,0.77755,2.01787,0.94173,9.703e-05,9.703e-05,9.703e-05
17,2559.06,0.9104,2.04165,0.94667,0.34915,0.38612,0.3549,0.30921,0.8341,1.98608,0.95211,9.6832e-05,9.6832e-05,9.6832e-05
18,2677.22,0.86878,2.02509,0.92531,0.32189,0.47893,0.37048,0.32852,0.77187,1.93945,0.94127,9.6634e-05,9.6634e-05,9.6634e-05
19,2793.25,0.85915,1.95072,0.91912,0.42555,0.42169,0.42484,0.37844,0.81009,1.9092,0.9631,9.6436e-05,9.6436e-05,9.6436e-05
20,2907.72,0.82733,1.9325,0.91751,0.44043,0.42203,0.42552,0.37613,0.74939,1.8419,0.93819,9.6238e-05,9.6238e-05,9.6238e-05
21,3023.23,0.87208,1.94009,0.92826,0.36873,0.54086,0.44316,0.39109,0.73415,1.84873,0.92676,9.604e-05,9.604e-05,9.604e-05
22,3138.59,0.83587,1.87508,0.92722,0.52829,0.42962,0.44329,0.39938,0.74515,1.8317,0.92308,9.5842e-05,9.5842e-05,9.5842e-05
