epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.5439,1.41454,4.06904,1.29453,0.00021,0.14583,0.00153,0.00072,2.7307,5.34817,2.10304,0.09001,1e-05,1e-05
2,66.1478,1.29478,3.68285,1.22503,0.00014,0.125,0.00195,0.00061,2.1892,4.92066,1.89114,0.079021,2.09584e-05,2.09584e-05
3,103.58,1.17233,3.46895,1.12678,0.01854,0.35417,0.10012,0.05271,1.56373,4.38163,1.37253,0.0680319,3.18733e-05,3.18733e-05
4,135.045,1.20703,3.14873,1.20286,0.01328,0.6875,0.14283,0.08133,1.28849,4.06514,1.11767,0.0570427,4.27446e-05,4.27446e-05
5,167.605,1.17869,2.94459,1.20541,0.07442,0.91667,0.20017,0.14987,1.00896,3.83949,1.0338,0.0460536,5.35723e-05,5.35723e-05
6,199.385,1.18448,2.8414,1.22505,0.04975,1,0.24602,0.17981,0.83914,3.57397,0.97719,0.0350644,6.43565e-05,6.43565e-05
7,231.597,1.10394,2.7476,1.17783,0.03913,1,0.24568,0.18012,0.79394,3.36953,0.96471,0.0240751,7.50971e-05,7.50971e-05
8,263.74,1.0744,2.60305,1.17524,0.0316,1,0.23441,0.17575,0.8185,3.1082,0.96886,0.0130858,8.57942e-05,8.57942e-05
9,296.046,1.06062,2.59179,1.18107,0.12218,0.47917,0.2279,0.16695,0.86195,2.96538,0.98279,0.00209645,9.64477e-05,9.64477e-05
10,327.894,1.1028,2.56284,1.16358,0.3736,0.26938,0.22526,0.18077,0.88947,2.76317,0.98632,9.8218e-05,9.8218e-05,9.8218e-05
11,359.151,1.02249,2.52006,1.1353,0.14051,0.33333,0.24883,0.19038,0.83989,2.55964,0.97321,9.802e-05,9.802e-05,9.802e-05
12,390.111,1.00789,2.42851,1.10837,0.15497,0.50514,0.26429,0.20628,0.79108,2.44453,0.95322,9.7822e-05,9.7822e-05,9.7822e-05
13,420.872,1.01707,2.45047,1.1096,0.18167,0.60417,0.27383,0.2083,0.8011,2.39437,0.95598,9.7624e-05,9.7624e-05,9.7624e-05
14,451.629,1.04829,2.53092,1.17242,0.18914,0.60417,0.2938,0.22543,0.76853,2.34697,0.93806,9.7426e-05,9.7426e-05,9.7426e-05
15,481.683,0.96672,2.39105,1.11096,0.17747,0.51335,0.27923,0.20517,0.81075,2.33879,0.95451,9.7228e-05,9.7228e-05,9.7228e-05
16,511.636,0.99881,2.37404,1.11136,0.21429,0.4878,0.26693,0.19617,0.81737,2.31091,0.96227,9.703e-05,9.703e-05,9.703e-05
17,541.65,0.99497,2.37811,1.14365,0.19043,0.45833,0.24362,0.18289,0.78237,2.27833,0.95437,9.6832e-05,9.6832e-05,9.6832e-05
18,571.486,0.95651,2.33251,1.12667,0.19744,0.52083,0.24401,0.19464,0.724,2.24267,0.93798,9.6634e-05,9.6634e-05,9.6634e-05
19,601.164,0.97126,2.35892,1.135,0.19831,0.56883,0.2805,0.20965,0.70637,2.23031,0.93147,9.6436e-05,9.6436e-05,9.6436e-05
20,631.092,0.99444,2.26458,1.13249,0.19149,0.625,0.24214,0.19265,0.75358,2.20855,0.94471,9.6238e-05,9.6238e-05,9.6238e-05
21,660.568,0.91811,2.29211,1.09074,0.18617,0.625,0.24743,0.19665,0.75403,2.21681,0.94902,9.604e-05,9.604e-05,9.604e-05
22,690.312,0.94471,2.22513,1.11853,0.1805,0.57154,0.25439,0.20515,0.72067,2.22947,0.95001,9.5842e-05,9.5842e-05,9.5842e-05
23,719.856,0.96585,2.2406,1.09439,0.16329,0.58666,0.27526,0.22152,0.69737,2.22512,0.94465,9.5644e-05,9.5644e-05,9.5644e-05
24,749.55,0.88677,2.21247,1.05547,0.19328,0.58333,0.28936,0.22899,0.66469,2.22186,0.93606,9.5446e-05,9.5446e-05,9.5446e-05
25,779.279,0.97063,2.24247,1.14867,0.21752,0.5625,0.30368,0.23874,0.69666,2.21146,0.93802,9.5248e-05,9.5248e-05,9.5248e-05
26,809.908,0.88558,2.16183,1.09992,0.23708,0.60417,0.34771,0.26856,0.72882,2.18211,0.94586,9.505e-05,9.505e-05,9.505e-05
27,839.941,0.90505,2.15725,1.07387,0.29366,0.59324,0.38735,0.30161,0.72957,2.15471,0.95633,9.4852e-05,9.4852e-05,9.4852e-05
28,869.796,0.82924,2.15057,1.0466,0.29211,0.54167,0.36427,0.29266,0.71186,2.13158,0.96848,9.4654e-05,9.4654e-05,9.4654e-05
29,899.692,0.88665,2.11916,1.09925,0.30918,0.4549,0.35149,0.28948,0.70474,2.10318,0.96169,9.4456e-05,9.4456e-05,9.4456e-05
30,929.664,0.92533,2.11101,1.11147,0.29688,0.4375,0.32199,0.26824,0.72163,2.12078,0.95941,9.4258e-05,9.4258e-05,9.4258e-05
31,959.736,0.93589,2.20383,1.11973,0.39456,0.42758,0.33194,0.27558,0.74779,2.14633,0.97086,9.406e-05,9.406e-05,9.406e-05
32,989.7,0.93444,2.15433,1.1101,0.35491,0.38932,0.37074,0.29431,0.71095,2.17326,0.97181,9.3862e-05,9.3862e-05,9.3862e-05
33,1019.34,0.8732,2.10175,1.0622,0.33171,0.35417,0.39015,0.31261,0.69928,2.17381,0.981,9.3664e-05,9.3664e-05,9.3664e-05
34,1049.24,0.83816,2.12786,1.06761,0.24474,0.54167,0.39002,0.31186,0.6801,2.19085,0.97712,9.3466e-05,9.3466e-05,9.3466e-05
35,1079.17,0.93509,2.13867,1.13738,0.23657,0.52083,0.38938,0.31075,0.69139,2.17427,0.97769,9.3268e-05,9.3268e-05,9.3268e-05
36,1109.03,0.86823,2.09081,1.08468,0.28502,0.42905,0.38203,0.30965,0.69079,2.16441,0.95323,9.307e-05,9.307e-05,9.307e-05
37,1138.92,0.86058,2.04414,1.06237,0.31949,0.375,0.37486,0.30424,0.67366,2.14247,0.94143,9.2872e-05,9.2872e-05,9.2872e-05
38,1168.53,0.87515,2.01457,1.0615,0.30629,0.35417,0.36976,0.30903,0.64526,2.12968,0.94038,9.2674e-05,9.2674e-05,9.2674e-05
39,1198.36,0.88049,2.07768,1.08052,0.27851,0.46796,0.37471,0.31987,0.64792,2.13605,0.94884,9.2476e-05,9.2476e-05,9.2476e-05
40,1228.45,0.88401,1.99558,1.08285,0.2294,0.5813,0.39653,0.3065,0.66616,2.15253,0.95945,9.2278e-05,9.2278e-05,9.2278e-05
41,1258.3,0.79752,1.96252,1.02504,0.25854,0.52083,0.40053,0.30656,0.67894,2.13293,0.95393,9.208e-05,9.208e-05,9.208e-05
42,1288.02,0.86106,1.97279,1.07045,0.29259,0.51439,0.41752,0.32072,0.71789,2.12181,0.96777,9.1882e-05,9.1882e-05,9.1882e-05
43,1317.34,0.81895,1.98257,1.06517,0.30956,0.45768,0.42676,0.32242,0.69288,2.12662,0.95897,9.1684e-05,9.1684e-05,9.1684e-05
44,1347.02,0.89624,1.95587,1.1065,0.28651,0.49751,0.38837,0.30676,0.65236,2.13102,0.95211,9.1486e-05,9.1486e-05,9.1486e-05
45,1376.49,0.74618,1.8803,1.00347,0.25072,0.51711,0.34434,0.2804,0.67759,2.14388,0.96873,9.1288e-05,9.1288e-05,9.1288e-05
46,1406.67,0.85819,1.9781,1.0854,0.23879,0.60417,0.32772,0.26512,0.67427,2.14877,0.97247,9.109e-05,9.109e-05,9.109e-05
47,1436.34,0.90096,2.00315,1.1052,0.26329,0.4375,0.36667,0.30341,0.66732,2.0944,0.96549,9.0892e-05,9.0892e-05,9.0892e-05
48,1466.37,0.84044,1.87168,1.04101,0.41246,0.35597,0.38997,0.31757,0.7048,2.09522,0.97448,9.0694e-05,9.0694e-05,9.0694e-05
49,1495.83,0.81917,1.86704,1.05154,0.39759,0.41411,0.40281,0.3242,0.6974,2.08381,0.97652,9.0496e-05,9.0496e-05,9.0496e-05
50,1525.44,0.8291,1.91251,1.04601,0.2513,0.625,0.37943,0.31128,0.68543,2.07567,0.97218,9.0298e-05,9.0298e-05,9.0298e-05
51,1554.99,0.7636,1.86938,1.01269,0.24367,0.6431,0.3566,0.29447,0.68298,2.07842,0.97403,9.01e-05,9.01e-05,9.01e-05
52,1584.9,0.83283,1.88776,1.02559,0.25421,0.61808,0.37314,0.30647,0.64283,2.04973,0.95822,8.9902e-05,8.9902e-05,8.9902e-05
53,1614.35,0.75357,1.855,1.03388,0.36564,0.39552,0.40174,0.3335,0.62283,1.99478,0.94664,8.9704e-05,8.9704e-05,8.9704e-05
54,1643.71,0.83441,1.96266,1.06413,0.29191,0.60418,0.40427,0.32457,0.65663,1.96657,0.96351,8.9506e-05,8.9506e-05,8.9506e-05
55,1673.4,0.79812,1.93604,1.0674,0.32968,0.56928,0.40652,0.32371,0.64633,1.92921,0.94518,8.9308e-05,8.9308e-05,8.9308e-05
56,1703.55,0.80285,1.84519,1.00628,0.34065,0.5625,0.42703,0.34137,0.66646,1.94091,0.97919,8.911e-05,8.911e-05,8.911e-05
57,1733.06,0.76369,1.78858,1.01285,0.31544,0.52083,0.43004,0.35181,0.66624,1.94089,0.99179,8.8912e-05,8.8912e-05,8.8912e-05
58,1762.92,0.75824,1.77595,1.0217,0.36034,0.41667,0.43774,0.36103,0.70248,1.95203,1.00868,8.8714e-05,8.8714e-05,8.8714e-05
59,1792.33,0.79597,1.77742,1.04165,0.39822,0.4539,0.49582,0.40257,0.71683,2.00516,0.99953,8.8516e-05,8.8516e-05,8.8516e-05
60,1822.04,0.8321,1.74847,1.03995,0.32196,0.44727,0.47162,0.38615,0.69802,1.93208,0.98365,8.8318e-05,8.8318e-05,8.8318e-05
61,1851.88,0.78657,1.69593,1.01311,0.32443,0.50149,0.4382,0.37468,0.6936,1.86142,0.98707,8.812e-05,8.812e-05,8.812e-05
