class_id,class_name,precision,recall,mAP50,mAP50-95
0,black_bishop,0.6007587839524946,0.6590909090909091,0.7101406721828022,0.511500432797974
1,black_castle,0.7968054203905028,0.6818181818181818,0.819863441146678,0.5275170749239363
2,black_king,0.5074170736377188,0.21818181818181817,0.3953901741583137,0.270321004634585
3,black_knight,0.8294836478152658,0.8636363636363636,0.8982423069167171,0.8816567089562988
4,black_pawn,0.6882257337089671,0.7045454545454546,0.7728839840383589,0.6609774415025387
5,black_queen,0.48332547900593875,0.5528671079240769,0.4868855571700929,0.3733458040638219
6,white_bishop,1.0,0.9967179602752085,0.995,0.989775652173913
7,white_castle,0.9163627514642508,1.0,0.9941304347826087,0.9903589195435505
8,white_king,0.966813523833054,1.0,0.995,0.9949999999999999
9,white_knight,0.9770831769388522,0.9772727272727273,0.9870765957446809,0.9845093122216726
10,white_pawn,0.9391996127006704,1.0,0.9936666666666667,0.9936666666666666
11,white_queen,0.9796158970052713,1.0,0.995,0.9892905555555556
